"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.563786592E0,5.352953672E-1,-1.651159860E-2,1.012001187E-2
1.573735322E0,5.731122494E-1,-2.663161140E-3,2.290318534E-2
1.583745088E0,5.826996565E-1,2.130528912E-3,4.527373984E-2
1.593693818E0,5.789712071E-1,-5.326322280E-4,7.456851006E-2
1.603703584E0,5.826996565E-1,7.456851192E-3,9.587380290E-2
1.613652315E0,6.029396653E-1,2.663161233E-2,1.012001261E-1
1.623692598E0,6.572681665E-1,4.846953228E-2,9.108011425E-2
1.633671846E0,7.430219650E-1,6.977482140E-2,8.415589482E-2
1.643651094E0,8.325041533E-1,8.522115648E-2,7.829693705E-2
1.653599824E0,9.145295620E-1,8.415589482E-2,6.711166352E-2
1.663640108E0,9.677927494E-1,6.444849819E-2,5.166532472E-2
1.673619356E0,9.779127836E-1,2.716424316E-2,4.261057824E-2
1.683659639E0,9.464874864E-1,-9.054748341E-3,3.781688958E-2
1.693638887E0,8.836368918E-1,-6.018744037E-2,5.113269389E-2
1.703648652E0,8.111988902E-1,-1.033306494E-1,8.948221803E-2
1.713597383E0,7.552725077E-1,-1.395496428E-1,1.384843737E-1
1.723637666E0,7.323693037E-1,-1.667138934E-1,1.848233789E-1
1.733616914E0,7.387608886E-1,-1.725728363E-1,2.205097377E-1
1.743626680E0,7.723167539E-1,-1.544633508E-1,2.460760921E-1
1.753636445E0,8.143946528E-1,-1.352885813E-1,2.625876963E-1
1.763615693E0,8.538094759E-1,-1.145159304E-1,2.652508616E-1
1.773564424E0,8.703210354E-1,-9.587380290E-2,2.599245310E-1
1.783574190E0,8.633968234E-1,-6.870955974E-2,2.450108230E-1
1.793522920E0,8.436894417E-1,-4.474110901E-2,2.237055302E-1
1.803563203E0,8.170578480E-1,-3.834952042E-2,1.986718178E-1
1.813542451E0,7.877630591E-1,-3.834952042E-2,1.768338978E-1
1.823582734E0,7.547398806E-1,-4.048004746E-2,1.603222936E-1
1.833561983E0,7.163903713E-1,-4.420847446E-2,1.395496428E-1
1.843602266E0,6.860303283E-1,-5.273059011E-2,1.187769845E-1
