"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.591337814E0,2.303778648E0,1.947880745E0,1.521293402E0
1.601088022E0,-1.052007079E-1,1.418007851E0,4.426596165E0
1.610838230E0,-6.389112473E-1,8.518085480E-1,5.506699085E0
1.620588334E0,4.824200273E-1,5.726251602E-1,6.817993164E0
1.630338439E0,1.322842360E0,6.047973633E-1,7.190922260E0
1.640088647E0,1.394912004E0,9.138326645E-1,3.199805737E0
1.649838855E0,1.079712629E0,2.130064964E0,-3.406975269E0
1.659588959E0,2.755196989E-1,3.488133430E0,-7.141310215E0
1.669339168E0,-1.607845068E0,3.181730270E0,-6.192409039E0
1.679089376E0,-4.501299381E0,1.544917107E0,-2.475924253E0
1.688839480E0,-4.707627296E0,7.220344543E-1,9.702886343E-1
1.698589689E0,-2.360094786E0,9.048156738E-1,2.553049564E0
1.708339793E0,1.382575929E-1,1.339918137E0,3.316454411E0
1.718090001E0,2.530644178E0,1.329091072E0,4.138875008E0
1.727840209E0,3.021027565E0,3.585968018E-1,3.554348230E0
1.737590314E0,1.353754163E0,-1.748285294E-1,8.950030804E-2
1.747340522E0,-1.736562729E0,2.528219223E-1,-3.724539757E0
1.757090626E0,-5.348605633E0,-6.951417923E-1,-3.436692953E0
1.766840834E0,-5.174114704E0,-2.225414276E0,-6.468877792E-1
1.776590939E0,-2.096130610E0,-2.340144157E0,1.690742731E0
1.786341147E0,7.133740187E-1,-1.446620941E0,3.818690777E0
1.796091355E0,4.620894909E0,-2.425603867E-1,6.773902416E0
1.805841459E0,6.296167850E0,-5.243587494E-2,5.669459343E0
1.815591668E0,3.650409937E0,-1.067523003E0,2.004392385E0
1.825341772E0,-9.416157007E-1,-5.045013428E-1,-5.839574337E-1
1.835091980E0,-2.989699602E0,4.817695618E-1,-6.551209688E-1
1.844842084E0,-2.043982506E0,5.851974487E-1,-9.070118666E-1
1.854592293E0,-9.865261316E-1,1.155133247E0,-1.846469402E0
1.864342397E0,-9.764620066E-1,2.279068947E0,-1.528467298E0
1.874092605E0,-6.729260683E-1,3.792930603E0,-1.319293976E-1
