"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.825044285E0,8.003028035E-1,-6.793250561E0,-1.201550865E1
2.842148784E0,6.741380095E-1,-6.003936291E0,-1.088602638E1
2.859253011E0,4.963438511E-1,-4.924452305E0,-8.012186050E0
2.876357936E0,3.554703593E-1,-4.015913963E0,-4.956934929E0
2.893461915E0,3.948491812E-1,-3.952905178E0,-3.517330170E0
2.910566129E0,5.577311516E-1,-4.699308395E0,-3.914858818E0
2.927670707E0,6.682773829E-1,-5.743792534E0,-5.217598438E0
2.944775389E0,6.890095472E-1,-6.662803650E0,-6.529165268E0
2.961879692E0,9.358368516E-1,-7.171510696E0,-7.504813671E0
2.978984475E0,1.219663382E0,-7.043218136E0,-7.724939823E0
2.996088967E0,1.363873243E0,-6.007063866E0,-7.198979855E0
3.013192149E0,1.569773078E0,-4.410353184E0,-6.671396732E0
3.030299205E0,1.525426745E0,-2.739027023E0,-7.587888718E0
3.047401667E0,1.278842688E0,-1.106898785E0,-9.209572792E0
3.064506242E0,3.756829500E-1,2.761158943E-1,-9.835301399E0
3.081610882E0,1.036195755E0,1.638807297E0,-5.246835232E0
3.098715363E0,1.573980689E0,5.936932087E0,-1.049299240E-1
3.115819394E0,1.442961931E0,6.304316044E0,4.450340271E-1
3.132924588E0,1.603721142E0,6.632192135E0,4.064413071E0
3.150028882E0,1.033008575E0,5.827792168E0,3.557898998E0
3.167133156E0,7.170245647E-1,6.012277603E0,1.097266197E0
3.184237247E0,8.415418267E-1,7.083734512E0,-1.273085117E0
3.201341852E0,7.202636003E-1,6.618064880E0,-2.968026161E0
3.218446558E0,6.951290965E-1,6.263997555E0,-2.471760273E0
3.235550796E0,1.129776001E0,6.094321251E0,-1.328464985E0
3.252654944E0,1.675072670E0,5.849919796E0,2.738323212E-1
3.269759781E0,1.653705120E0,5.900995255E0,1.597636223E0
3.286864391E0,8.797227144E-1,5.620746613E0,1.185555458E0
3.303969163E0,1.837906241E-1,4.973991871E0,-7.468795776E-2
3.321073224E0,-4.063773751E-1,4.385709763E0,-7.911939621E-1
