"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.491134531E0,-9.767301381E-2,-3.563323021E0,-1.693857193E0
1.501150677E0,-1.243392676E-1,-3.515612602E0,-2.113578320E0
1.511125625E0,-4.613404870E-1,-3.263830185E0,-2.511429548E0
1.521104062E0,-4.780309796E-1,-3.303482056E0,-2.756147385E0
1.531087396E0,-3.662793338E-1,-3.393777370E0,-3.027103186E0
1.541076823E0,-1.377267092E-1,-3.395634174E0,-3.454395533E0
1.551073125E0,-3.099024296E-3,-3.399885178E0,-3.542419672E0
1.561076927E0,1.111613810E-1,-3.402912140E0,-3.204768658E0
1.571088437E0,2.869592309E-1,-3.448760986E0,-2.755159616E0
1.581107604E0,4.568377733E-1,-3.480607510E0,-2.345063686E0
1.591132187E0,4.998316765E-1,-3.493920326E0,-1.978579044E0
1.601161718E0,4.040924907E-1,-3.450898170E0,-1.593181610E0
1.611195468E0,2.241449207E-1,-3.304228306E0,-1.317829609E0
1.621233333E0,1.776932329E-1,-3.377886772E0,-1.057628870E0
1.631275416E0,1.137725413E-1,-3.537931919E0,-6.299390793E-1
1.641319479E0,9.338447452E-2,-3.684854984E0,-7.761142254E-1
1.651365416E0,2.179408967E-1,-3.923033714E0,-9.699218273E-1
1.661412031E0,1.871664226E-1,-3.960840702E0,-1.274625301E0
1.671445364E0,-6.988200545E-2,-3.904616356E0,-1.698294997E0
1.681462812E0,-1.610896885E-1,-4.073671341E0,-2.417025566E0
1.691479687E0,-7.132002711E-2,-4.203198433E0,-3.128010750E0
1.701496614E0,-5.172896385E-2,-4.263020992E0,-3.664357662E0
1.711513541E0,-6.881833076E-2,-4.343755722E0,-3.746999502E0
1.721504583E0,-1.148667336E-1,-4.497745514E0,-3.635893345E0
1.731497708E0,-4.271548986E-2,-4.595976830E0,-3.417986155E0
1.741493802E0,-4.832696915E-2,-4.572083473E0,-3.212957859E0
1.751493593E0,-2.473160625E-1,-4.350892067E0,-3.158210278E0
1.761497656E0,-5.095774531E-1,-4.176997185E0,-2.894095421E0
1.771506354E0,-5.982530117E-1,-3.999358177E0,-2.613202333E0
1.781519791E0,-6.302551031E-1,-3.818638325E0,-2.704816341E0
1.791537968E0,-6.190014482E-1,-3.690268040E0,-3.185062170E0
1.801560677E0,-7.228368521E-1,-3.511643887E0,-3.179963350E0
1.811587552E0,-9.667232037E-1,-3.169189930E0,-2.248142242E0
1.821616875E0,-1.143723488E0,-2.894767284E0,-1.370963335E0
1.831649166E0,-1.052329421E0,-2.522863865E0,-7.494430542E-1
1.841683698E0,-6.031309366E-1,-2.202679157E0,-4.893319607E-1
1.851719739E0,-1.576948166E-1,-1.981376648E0,-5.743312836E-1
1.861756406E0,2.084442675E-1,-1.689407349E0,-7.971174717E-1
1.871789427E0,6.213815808E-1,-1.342551708E0,-7.780945301E-1
1.881807760E0,7.927727699E-1,-1.021735191E0,3.295743465E-1
1.891779427E0,7.215065956E-1,-5.981993675E-1,2.282412052E0
1.901754739E0,6.073338985E-1,2.193880081E-2,3.700331926E0
1.911735156E0,2.840609252E-1,6.443963051E-1,4.252330780E0
1.921720156E0,-2.648133039E-2,1.255595684E0,4.641060352E0
1.931712656E0,-1.430034339E-1,1.895707130E0,4.943537235E0
1.941713333E0,-1.990205944E-1,2.509806156E0,4.644818306E0
1.951722500E0,-1.128586829E-1,3.220076561E0,3.942413807E0
1.961740156E0,6.784690022E-1,3.498901367E0,2.931005001E0
1.971765937E0,1.453126073E0,3.875324249E0,2.032844543E0
1.981799166E0,1.650262713E0,4.587941647E0,1.370515347E0
1.991838906E0,1.437736630E0,5.386802673E0,1.196247101E0
2.001884010E0,1.633980751E0,5.846519470E0,1.285151005E0
2.011933125E0,1.594146013E0,5.991429329E0,1.977289677E0
2.021983750E0,8.756309748E-1,5.959187508E0,3.559911728E0
2.032035573E0,-4.679113626E-3,6.432899475E0,5.239669800E0
2.042081979E0,-9.574798942E-1,7.201491356E0,5.929953098E0
2.052099166E0,-1.941931725E0,8.127320290E0,5.687748432E0
2.062116354E0,-2.778538704E0,1.004114151E1,4.456374168E0
2.072106614E0,-2.772210836E0,1.170506954E1,3.487326622E0
2.082097239E0,-1.622107029E0,1.267076111E1,2.545547485E0
2.092089271E0,-9.243211746E-1,1.363408661E1,2.588127613E0
2.102083646E0,-9.412621260E-1,1.449876213E1,3.668751240E0
2.112081198E0,-2.925965786E-1,1.472423172E1,5.534010410E0
2.122083281E0,-3.341436386E-4,1.464299202E1,7.249998569E0
2.132091406E0,-2.292058468E-1,1.414189529E1,9.484818459E0
2.142104583E0,-5.681133866E-1,1.369479656E1,1.174377632E1
2.152123854E0,-8.112998605E-1,1.306334209E1,1.334689617E1
2.162148906E0,-9.781452417E-1,1.202149105E1,1.325130939E1
2.172179218E0,-9.398193359E-1,1.078218746E1,1.121963596E1
2.182214062E0,-7.448645830E-1,9.326250076E0,8.668497086E0
2.192252552E0,-7.879953980E-1,8.156989098E0,6.702313423E0
2.202293750E0,-1.228070498E0,7.366209984E0,4.748003960E0
2.212336510E0,-1.429699779E0,6.445469856E0,3.237621307E0
2.222365000E0,-1.290665865E0,5.357680321E0,2.277369499E0
2.232394114E0,-1.086232424E0,4.531359673E0,1.895626545E0
2.242423333E0,-8.676193953E-1,4.082462311E0,1.253700256E0
2.252443385E0,-8.041478992E-1,3.812784195E0,6.846947670E-1
2.262461666E0,-7.621030211E-1,3.811890602E0,1.181663036E0
2.272477760E0,-1.018176079E0,3.867192268E0,2.626449108E0
2.282493854E0,-9.991538525E-1,4.011576653E0,4.347710609E0
2.292510000E0,-8.730305433E-1,3.937873840E0,5.002532482E0
2.302526250E0,-1.020442247E0,3.726467133E0,4.488851547E0
