"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.287153233E0,1.106510833E-1,-1.174419373E-1,1.451379955E-1
1.297177868E0,7.017222792E-2,-1.930734813E-1,1.344856620E-1
1.307207035E0,1.904104091E-2,-2.580527067E-1,1.248985752E-1
1.317240108E0,-3.528584540E-2,-3.017272651E-1,1.078548431E-1
1.327276305E0,-7.789516449E-2,-3.198362291E-1,8.655018359E-2
1.337314691E0,-9.387365729E-2,-2.750964165E-1,7.909355313E-2
1.347353233E0,-7.363422960E-2,-2.079867423E-1,7.376738638E-2
1.357392139E0,-1.198387123E-3,-1.738992929E-1,6.311506033E-2
1.367419118E0,1.053249165E-1,-1.227681041E-1,5.565842614E-2
1.377436305E0,2.107829899E-1,-5.778888986E-2,4.394086078E-2
1.387453493E0,3.023930192E-1,-8.788172156E-3,2.583190054E-2
1.397470680E0,3.609808385E-1,4.873441160E-2,-7.989247679E-4
1.407487712E0,3.940030634E-1,5.086487532E-2,-3.062544949E-2
1.417504743E0,4.046553969E-1,3.994623665E-3,-4.873441160E-2
1.427521826E0,3.695026934E-1,-8.015878499E-2,-5.832150951E-2
1.437538910E0,2.768274248E-1,-1.376813650E-1,-3.914731368E-2
1.447529587E0,1.458037645E-1,-1.536598653E-1,6.657706574E-3
1.457522399E0,2.649767138E-2,-1.664426625E-1,5.459319428E-2
1.467516566E0,-6.085143611E-2,-1.675078869E-1,8.655018359E-2
1.477514587E0,-1.087869257E-1,-1.483336985E-1,1.035939083E-1
1.487517087E0,-1.300915778E-1,-1.227681041E-1,1.153114736E-1
1.497524483E0,-1.354177445E-1,-1.153114736E-1,1.217028722E-1
1.507537035E0,-1.268958896E-1,-1.472684592E-1,1.110505462E-1
1.517554691E0,-1.066564545E-1,-1.877473146E-1,9.081111848E-2
1.527577191E0,-9.280842543E-2,-2.175738513E-1,6.737598777E-2
1.537604118E0,-1.002650559E-1,-2.612484097E-1,4.500609636E-2
1.547634951E0,-1.439396143E-1,-2.974663079E-1,1.837527007E-2
1.557668962E0,-2.334191799E-1,-3.283580840E-1,-1.358172111E-2
1.567705368E0,-3.708342612E-1,-3.411408663E-1,-3.595161438E-2
1.577743285E0,-5.444672108E-1,-3.485974967E-1,-4.873441160E-2
1.587781826E0,-7.244915962E-1,-3.187709749E-1,-8.601756394E-2
1.597814847E0,-9.130378366E-1,-1.600512564E-1,-1.158440933E-1
1.607832035E0,-9.876041412E-1,-1.142462417E-1,-1.318225861E-1
1.617849222E0,-9.258206487E-1,-1.089200750E-1,-1.233007237E-1
1.627866410E0,-7.575138211E-1,-1.259638071E-1,-1.073222235E-1
1.637883597E0,-5.444672108E-1,-1.664426625E-1,-9.134373069E-2
1.647900785E0,-3.314206302E-1,-1.973344237E-1,-8.708280325E-2
1.657918024E0,-1.492657810E-1,-2.197043151E-1,-1.019960642E-1
1.667935264E0,-1.504641678E-2,-2.399437428E-1,-1.275616586E-1
1.677952503E0,7.656362653E-2,-2.719007432E-1,-1.382139921E-1
1.687969743E0,1.106510833E-1,-1.834863871E-1,-1.680405140E-1
1.697986983E0,1.085206121E-1,-9.933298081E-2,-1.946713328E-1
1.708004222E0,9.360735118E-2,-3.115806542E-2,-2.138455361E-1
1.717980055E0,7.656362653E-2,2.636451647E-2,-2.266283184E-1
1.727959170E0,6.165036187E-2,6.471290439E-2,-2.340849638E-1
