"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.257110368E0,6.285200119E-1,-5.136318684E0,-2.872048855E0
1.267119274E0,5.552274585E-1,-5.144603252E0,-3.037134409E0
1.277133597E0,4.953135848E-1,-5.180942535E0,-3.069623470E0
1.287153233E0,4.532119334E-1,-5.172828674E0,-3.101093292E0
1.297177868E0,4.045161307E-1,-5.153733730E0,-3.131934643E0
1.307207035E0,3.781812191E-1,-5.256381035E0,-3.110782146E0
1.317240108E0,3.804228008E-1,-5.327583790E0,-2.971656799E0
1.327276305E0,3.269518018E-1,-5.244528770E0,-2.776005745E0
1.337314691E0,2.148236036E-1,-5.133204937E0,-2.435955048E0
1.347353233E0,1.830806285E-1,-5.066690445E0,-1.730472326E0
1.357392139E0,1.303221583E-1,-5.070620537E0,-1.256578922E0
1.367419118E0,9.992617369E-2,-5.046057224E0,-1.256558657E0
1.377436305E0,1.782595664E-1,-4.983587265E0,-1.356124878E0
1.387453493E0,2.455052882E-1,-4.911342621E0,-1.755610943E0
1.397470680E0,2.315135747E-1,-4.823137760E0,-2.132513285E0
1.407487712E0,7.776661217E-2,-4.651360035E0,-2.361126900E0
1.417504743E0,-1.749958992E-1,-4.381405354E0,-2.625444651E0
1.427521826E0,-3.142825365E-1,-4.140538692E0,-2.958035946E0
1.437538910E0,-5.469321012E-1,-3.812222481E0,-3.563361406E0
1.447529587E0,-6.922745705E-1,-3.700122833E0,-3.757967710E0
1.457522399E0,-7.129533291E-1,-3.784255505E0,-3.491293430E0
1.467516566E0,-5.556242466E-1,-3.769555569E0,-3.010973692E0
1.477514587E0,-3.573702276E-1,-3.605874538E0,-2.690647602E0
1.487517087E0,-1.891012192E-1,-3.537871361E0,-2.555285454E0
1.497524483E0,9.667967260E-2,-3.551191330E0,-2.454703093E0
1.507537035E0,4.183201194E-1,-3.507787704E0,-2.392242432E0
1.517554691E0,6.191104650E-1,-3.375166893E0,-2.585474491E0
1.527577191E0,6.672706604E-1,-3.215539932E0,-2.914262295E0
1.537604118E0,6.536287069E-1,-3.075858593E0,-3.336788416E0
1.547634951E0,5.744981766E-1,-2.964128017E0,-3.927010775E0
1.557668962E0,4.166905880E-1,-2.868910789E0,-4.545084953E0
1.567705368E0,1.900423765E-1,-2.807324886E0,-5.033195019E0
1.577743285E0,-4.858779907E-2,-2.644474983E0,-4.857474327E0
1.587781826E0,-1.147990078E-1,-3.127870560E0,-5.074502945E0
1.597814847E0,-2.767811716E-1,-3.005751610E0,-3.754398584E0
1.607832035E0,-2.967080176E-1,-2.966834068E0,-2.034571409E0
1.617849222E0,-2.648279667E-1,-3.034781933E0,-7.294223309E-1
1.627866410E0,-9.252776206E-2,-3.237124443E0,1.060400009E-1
1.637883597E0,1.517274380E-1,-3.370443344E0,3.641309738E-1
1.647900785E0,4.546104372E-1,-3.587817669E0,2.196798325E-1
1.657918024E0,6.177932620E-1,-3.873343945E0,-2.085227966E-1
1.667935264E0,5.717371106E-1,-3.981875896E0,-7.371561527E-1
1.677952503E0,4.064971209E-1,-4.227007866E0,-1.450194359E0
1.687969743E0,9.604901820E-2,-4.367414474E0,-2.103668928E0
1.697986983E0,-1.068491861E-1,-4.449838638E0,-2.224829674E0
1.708004222E0,-2.803722024E-1,-4.521723747E0,-2.289393187E0
1.717980055E0,-3.734057546E-1,-4.530652523E0,-2.293127537E0
1.727959170E0,-3.828384876E-1,-4.429483414E0,-2.155225277E0
1.737942972E0,-4.831213951E-1,-4.304991722E0,-1.971019268E0
1.747932608E0,-6.366480589E-1,-4.305611610E0,-1.577558517E0
1.757928962E0,-7.272288203E-1,-4.389163017E0,-1.268643379E0
1.767932608E0,-7.601807714E-1,-4.403047085E0,-1.414716244E0
1.777943805E0,-8.143647909E-1,-4.261401176E0,-1.428219557E0
1.787962451E0,-8.616396785E-1,-4.055296421E0,-1.358216524E0
1.797988180E0,-8.324476480E-1,-3.884536266E0,-1.558981895E0
1.808020420E0,-6.971276402E-1,-3.657055855E0,-2.084053993E0
1.818058285E0,-5.593398809E-1,-3.299523354E0,-2.483508348E0
1.828100733E0,-5.390374064E-1,-2.972900867E0,-2.676055431E0
1.838146566E0,-6.996335983E-1,-2.594887733E0,-2.713033199E0
1.848194483E0,-8.748231530E-1,-2.284484863E0,-2.267351151E0
1.858243180E0,-9.853779674E-1,-2.007787228E0,-1.670543432E0
1.868279743E0,-1.313962102E0,-1.822508335E0,-1.059342384E0
1.878297191E0,-9.896008968E-1,-1.543797016E0,8.442521095E-2
1.888314430E0,-3.558304906E-1,-1.064835072E0,1.181509972E0
1.898331670E0,5.193080902E-1,-5.371665955E-1,1.847282410E0
1.908348858E0,1.113442183E0,7.316112518E-3,2.280528545E0
1.918366045E0,1.302017927E0,6.663208008E-1,2.500606537E0
1.928383233E0,1.210491419E0,1.243145466E0,2.147319317E0
1.938400420E0,9.316399693E-1,1.653779507E0,1.335369110E0
1.948417503E0,5.905492306E-1,2.117217541E0,4.178423882E-1
1.958393233E0,4.447843432E-1,2.775650501E0,-3.454973698E-1
1.968370472E0,1.315075755E-1,3.622403145E0,-7.954373360E-1
1.978352555E0,-1.798384339E-1,4.520549774E0,-4.035611153E-1
1.988340680E0,-3.523211777E-1,5.236443996E0,4.969763756E-1
1.998335785E0,-7.703896761E-1,6.344379902E0,1.715292454E0
2.008338493E0,-9.618587494E-1,7.212795734E0,3.522404194E0
2.018349118E0,-1.067133546E0,7.889449120E0,6.187859535E0
2.028367555E0,-9.537722468E-1,8.548725128E0,8.817579269E0
2.038393441E0,-1.329354763E0,9.279068947E0,9.956841469E0
