"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.486132287E0,-2.982908785E-1,5.304165840E0,-5.743378639E0
1.496132287E0,-1.449306011E-1,4.783238411E0,-5.994379044E0
1.506132320E0,-1.883518845E-1,4.668860912E0,-6.005702972E0
1.516132320E0,-1.810779572E-1,4.319634438E0,-6.115066528E0
1.526132320E0,-2.290033996E-1,3.893931866E0,-6.286767006E0
1.536133220E0,-4.346915483E-1,2.987591743E0,-6.612096786E0
1.546133220E0,-4.498896897E-1,2.812641621E0,-6.574296951E0
1.556133220E0,-4.018574059E-1,2.181304455E0,-6.531818390E0
1.566133220E0,-3.466381431E-1,1.615598202E0,-6.460798740E0
1.576133220E0,-3.333629370E-1,8.501238823E-1,-6.488805294E0
1.586133220E0,-2.366415709E-1,2.905454636E-1,-6.606019497E0
1.596133186E0,-5.429398268E-2,-2.911429405E-1,-6.748172283E0
1.606133152E0,3.875525296E-2,-9.164018631E-1,-6.893795013E0
1.616133152E0,3.739020824E-1,-1.398562908E0,-7.011734486E0
1.626133152E0,4.181470871E-1,-1.721521378E0,-7.171168327E0
1.636133152E0,3.172882199E-1,-2.020490646E0,-7.516681194E0
1.646133152E0,1.650171280E-1,-2.292622566E0,-8.003478050E0
1.656133152E0,1.208527386E-1,-2.713019371E0,-8.372469902E0
1.666133185E0,1.273416579E-1,-2.835129261E0,-8.282328606E0
1.676133218E0,2.050817907E-1,-3.074142694E0,-7.839933872E0
1.686133218E0,2.012398541E-1,-3.226047039E0,-7.431539536E0
1.696133218E0,-1.219874620E-2,-3.389647007E0,-7.061648846E0
1.706133218E0,-3.123188019E-2,-3.429015398E0,-7.043527603E0
1.716133218E0,-1.281397641E-1,-3.482011557E0,-6.944816113E0
1.726133184E0,-1.278533340E-1,-3.498323202E0,-6.808650017E0
1.736133184E0,-2.504223585E-2,-3.573360682E0,-6.395968437E0
1.746133184E0,-4.065117240E-2,-3.602187872E0,-6.333773613E0
1.756133184E0,-7.318097353E-2,-3.687197924E0,-6.263618469E0
1.766133184E0,-9.224545956E-2,-3.774288893E0,-6.581863403E0
1.776133184E0,-1.993699074E-1,-3.755780935E0,-7.060846806E0
1.786133184E0,-3.757425249E-1,-3.722296953E0,-7.253046036E0
1.796133184E0,-5.298916101E-1,-3.712363005E0,-7.378494740E0
1.806133150E0,-6.243975163E-1,-3.598334789E0,-7.454655647E0
1.816133150E0,-7.917079926E-1,-3.334825277E0,-7.747139931E0
1.826133150E0,-7.998644114E-1,-3.187895298E0,-7.989888191E0
1.836133150E0,-7.570906878E-1,-2.979805946E0,-8.425268173E0
1.846133150E0,-6.906019449E-1,-2.723964214E0,-8.829221725E0
1.856133150E0,-6.846191883E-1,-2.159735680E0,-9.349666595E0
1.866133150E0,-6.791685820E-1,-2.078697681E0,-9.392148018E0
1.876133150E0,-6.668750048E-1,-1.731891632E0,-9.480470657E0
1.886133150E0,-6.495464444E-1,-1.325499058E0,-9.317712784E0
1.896133150E0,-4.307850301E-1,-9.139537811E-1,-8.820756912E0
1.906133316E0,-3.615833223E-1,-8.459186554E-1,-8.624837875E0
1.916133316E0,-2.328570038E-1,-6.903862953E-1,-8.081017494E0
1.926133349E0,-1.369647384E-1,-5.890235901E-1,-7.440001965E0
1.936133349E0,-7.863283157E-3,-4.449896812E-1,-6.271561146E0
1.946133382E0,7.150322199E-3,-3.822026253E-1,-6.180013657E0
1.956133382E0,2.865722775E-2,-3.118615150E-1,-5.781424522E0
1.966133348E0,5.316270888E-2,-1.679620743E-1,-5.658747673E0
1.976133314E0,-1.222463325E-1,2.479982376E-2,-5.914187431E0
1.986133314E0,-2.021688819E-1,1.906237602E-1,-6.184812069E0
1.996133314E0,-2.313664854E-1,3.776121140E-1,-6.514038086E0
2.006133314E0,-2.205181122E-2,4.599866867E-1,-6.749785900E0
2.016133314E0,2.819765806E-1,4.633531570E-1,-6.742811680E0
2.026133314E0,4.043785632E-1,4.009737968E-1,-6.664302826E0
2.036133314E0,5.239415765E-1,1.918277740E-1,-6.502602577E0
2.046133314E0,7.311394215E-1,1.019668579E-2,-6.393724918E0
2.056133314E0,6.203134060E-1,-1.712379456E-1,-6.133321762E0
2.066133314E0,5.897634625E-1,-1.638956070E-1,-6.197413445E0
2.076133314E0,5.321384668E-1,-1.323928833E-1,-6.369074821E0
2.086133314E0,4.474034905E-1,-7.653617859E-2,-6.943493843E0
2.096133314E0,1.783406138E-1,4.638142586E-1,-8.563334465E0
2.106133314E0,1.250007451E-1,5.750818253E-1,-8.741998672E0
2.116133314E0,-1.487079263E-1,9.308686256E-1,-9.076093674E0
2.126133314E0,-2.425222993E-1,1.309941292E0,-8.914318085E0
2.136133314E0,-4.639591277E-1,1.882381439E0,-7.343768120E0
2.146133347E0,-4.153836966E-1,2.027605534E0,-7.124341488E0
2.156133347E0,-3.184611201E-1,2.346978188E0,-6.047564030E0
2.166133347E0,-2.195790112E-1,2.616745949E0,-5.375714302E0
2.176133380E0,-1.136749834E-1,2.824873924E0,-5.002557278E0
2.186133380E0,-5.403122306E-2,2.901483059E0,-5.033997059E0
2.196133380E0,-4.326550663E-2,3.066912651E0,-5.315676689E0
2.206133213E0,-2.817942202E-2,3.249274731E0,-5.732020855E0
2.216133213E0,-2.577791810E-1,3.814693928E0,-6.315717220E0
2.226133179E0,-4.431398511E-1,4.298604012E0,-6.620672226E0
2.236133179E0,-8.093193173E-1,4.943003654E0,-6.823460579E0
2.246133145E0,-9.127722979E-1,5.443299770E0,-6.701170444E0
2.256133145E0,-4.471738636E-1,6.050977230E0,-6.245208263E0
2.266133145E0,-3.192479014E-1,6.137740612E0,-6.054325104E0
2.276133145E0,1.176363453E-1,6.194505692E0,-5.534739494E0
2.286133145E0,2.520416677E-1,6.186024189E0,-5.199124336E0
2.296133145E0,5.337423682E-1,6.169768333E0,-4.777630806E0
2.306133178E0,5.850129128E-1,6.200589657E0,-4.742537498E0
2.316133178E0,8.016420007E-1,6.051087379E0,-4.811336040E0
2.326133178E0,6.142968535E-1,5.800945759E0,-5.168828487E0
2.336133178E0,-9.149513394E-2,5.661800861E0,-5.300889015E0
2.346133411E0,-1.452897042E-1,5.612858295E0,-5.322919846E0
2.356133411E0,-3.261342049E-1,5.353830814E0,-5.530319214E0
2.366133411E0,-4.396390915E-1,4.996890068E0,-5.872533798E0
2.376133411E0,-4.493703544E-1,4.600988388E0,-6.094396114E0
2.386133411E0,-3.687764108E-1,4.328809261E0,-6.178346157E0
2.396133411E0,-1.000301093E-1,3.921394348E0,-6.405963421E0
2.406133411E0,2.109372169E-1,3.702412128E0,-6.588499069E0
