"Time (s),""Gyroscope x (rad/s)"",""Gyroscope y (rad/s)"",""Gyroscope z (rad/s)"""
1.573170147E0,-3.653737605E-1,7.429648191E-2,7.326564789E-1
1.583170147E0,-2.065488100E-1,3.907246888E-1,4.241695404E-1
1.593170147E0,-5.574145354E-3,7.230353951E-1,1.000291854E-2
1.603170147E0,5.795583874E-2,8.623126745E-1,-1.640936732E-1
1.613170147E0,-5.994115397E-2,6.008623242E-1,-4.314235970E-2
1.623170147E0,-4.063017368E-1,-3.627012298E-2,2.286926806E-1
1.633170147E0,-9.750173092E-1,-5.622251034E-1,4.846452177E-1
1.643170147E0,-1.252350092E0,-9.501245022E-1,5.304601192E-1
1.653170147E0,-1.102688074E0,-1.034423947E0,2.445751727E-1
1.663170147E0,-7.050148249E-1,-7.167739868E-1,-1.824196279E-1
1.673170147E0,-6.185010541E-3,-3.783546686E-1,-5.159520507E-1
1.683170147E0,8.300895095E-1,-2.488512248E-1,-6.680575013E-1
1.693170147E0,1.445230842E0,-2.201405615E-1,-6.637814641E-1
1.703170147E0,1.767767668E0,-9.246972948E-2,-5.935319662E-1
1.713170147E0,1.722563624E0,5.535966158E-2,-4.780784249E-1
1.723170147E0,1.397583365E0,6.452263892E-2,-3.149773777E-1
1.733170147E0,9.766971469E-1,4.497495294E-2,-1.213331074E-1
1.743170147E0,6.291148663E-1,9.140071273E-2,4.543310404E-2
1.753170147E0,4.250858426E-1,1.708131880E-1,1.840995103E-1
1.763170147E0,3.682753742E-1,2.178498209E-1,3.056617081E-1
1.773170147E0,4.556291103E-1,1.714240611E-1,4.082870483E-1
1.783170147E0,6.333909035E-1,3.092505224E-2,5.103015304E-1
1.793170147E0,7.848854661E-1,-3.504839167E-2,5.628359914E-1
1.803170147E0,8.117635250E-1,2.725986205E-2,5.616142154E-1
1.813170147E0,7.292967439E-1,1.549306959E-1,4.895321429E-1
1.823170113E0,5.710826516E-1,2.526691258E-1,3.966806233E-1
1.833170113E0,1.990657151E-1,3.565162420E-1,2.806162238E-1
1.843170113E0,-5.627596006E-2,3.522401750E-1,2.115884423E-1
1.853170113E0,-2.829069793E-1,3.021492362E-1,1.700496078E-1
1.863170079E0,-4.936554730E-1,2.288453877E-1,1.333976984E-1
1.873170079E0,-6.420957446E-1,1.237765700E-1,7.108944654E-2
1.883170079E0,-6.378196478E-1,-8.819366992E-2,-1.443169173E-2
1.893170079E0,-4.563927054E-1,-4.461607039E-1,-9.445504099E-2
1.903170079E0,-2.248747647E-1,-8.743772507E-1,-1.176679209E-1
1.913170079E0,-5.566509441E-2,-1.157818675E0,-8.773551881E-2
1.923170112E0,-1.908953884E-3,-1.231122494E0,-8.223773539E-2
1.933170112E0,-8.376489580E-2,-1.127275467E0,-1.011745557E-1
1.943170112E0,-2.633592784E-1,-8.737663627E-1,-1.506546438E-1
1.953170112E0,-4.325689375E-1,-5.860488415E-1,-2.325105816E-1
1.963170112E0,-5.217552781E-1,-3.789655268E-1,-3.357468247E-1
1.973170112E0,-4.557818174E-1,-3.655264974E-1,-4.566981196E-1
1.983170112E0,-2.529745698E-1,-4.583780169E-1,-4.896848500E-1
1.993170112E0,4.199698567E-3,-4.901430011E-1,-4.188244939E-1
2.003170112E0,3.456733823E-1,-4.290564656E-1,-3.339142203E-1
2.013170112E0,7.531204820E-1,-2.213622928E-1,-4.267657399E-1
2.023170112E0,1.091539860E0,9.934195876E-2,-6.069709659E-1
2.033170112E0,1.392085552E0,4.444808364E-1,-6.869943142E-1
2.043170112E0,1.671250939E0,5.800929070E-1,-5.342780352E-1
2.053170112E0,1.742111325E0,2.386192381E-1,-1.311069578E-1
2.063170112E0,1.206993341E0,-4.150065780E-1,3.893502355E-1
2.073170112E0,-2.932916880E-1,-1.080849648E0,8.255079985E-1
2.083170112E0,-2.101452827E0,-1.438816786E0,1.025871873E0
2.093170112E0,-3.474066973E0,-1.192638040E0,9.305768609E-1
2.103170112E0,-3.967035294E0,-4.589888752E-1,5.921574831E-1
2.113170112E0,-3.271870613E0,9.017898142E-2,3.569743633E-1
2.123170112E0,-1.752037883E0,3.155882657E-1,1.993711442E-1
2.133170112E0,-1.876119822E-1,3.265838325E-1,2.268600762E-1
2.143170112E0,8.343655467E-1,9.873109311E-2,4.021784067E-1
2.153170112E0,1.162400246E0,-1.376737505E-1,5.750532746E-1
2.163170112E0,9.540951252E-1,-3.932445124E-2,6.349180937E-1
2.173170112E0,5.118287206E-1,3.577379584E-1,6.068182588E-1
2.183170112E0,7.689265907E-2,8.323802352E-1,5.292384028E-1
2.193170112E0,-2.352594733E-1,1.234940410E0,4.968625307E-1
2.203170112E0,-3.641520441E-1,1.416978240E0,4.589888752E-1
2.213170112E0,-1.967749745E-1,1.286864042E0,4.498258829E-1
2.223170078E0,2.625956833E-1,8.256607652E-1,4.931973219E-1
2.233170078E0,8.349764347E-1,3.235295117E-1,4.748713672E-1
2.243170078E0,1.226541042E0,6.940956414E-2,3.459787965E-1
2.253170078E0,1.289460182E0,9.384417534E-2,7.475463301E-2
2.263170078E0,1.114141822E0,2.771037519E-1,-2.471713424E-1
2.273170078E0,7.922158837E-1,4.786892831E-1,-5.128977299E-1
2.283170078E0,4.171445966E-1,5.550474524E-1,-7.572438121E-1
2.293170078E0,1.343140006E-1,4.866305292E-1,-1.014418125E0
2.303170078E0,-2.573269792E-2,3.033709526E-1,-1.210505843E0
2.313170078E0,-6.482807547E-2,1.537089646E-1,-1.341841817E0
2.323170078E0,1.153008174E-2,-1.028544381E-1,-1.379104614E0
2.333170078E0,1.422552466E-1,-4.467715621E-1,-1.345507026E0
2.343170078E0,2.204459906E-1,-7.656432390E-1,-1.236773014E0
2.353170078E0,2.338850349E-1,-8.798750043E-1,-1.089554548E0
2.363170078E0,1.880701333E-1,-8.365035653E-1,-9.319512844E-1
2.373170078E0,1.459204406E-1,-8.016842604E-1,-7.847327590E-1
2.383170078E0,1.404226422E-1,-7.589237094E-1,-5.171737671E-1
2.393170078E0,2.387719452E-1,-8.823184967E-1,-3.412446082E-1
2.403170078E0,3.175735772E-1,-9.794460535E-1,-1.085049361E-1
2.413170078E0,2.919172347E-1,-9.501245022E-1,1.224021241E-1
2.423170078E0,2.186134011E-1,-7.876343727E-1,3.013856411E-1
2.433170078E0,1.618029326E-1,-5.316818357E-1,4.443280995E-1
2.443170078E0,1.825723499E-1,-3.429244757E-1,5.255731940E-1
2.453170078E0,4.079816341E-1,-4.547128081E-1,4.791474342E-1
2.463170078E0,6.211736202E-1,-6.086508632E-1,4.223369658E-1
2.473170078E0,6.223953366E-1,-4.418846369E-1,3.221550584E-1
2.483170078E0,4.806745946E-1,-1.672243699E-2,1.468367279E-1
2.493170078E0,3.163518310E-1,3.015383482E-1,4.543310404E-2
2.503170078E0,1.954005212E-1,1.427133977E-1,8.147415519E-2
2.513170078E0,-1.168279815E-2,-3.826307058E-1,2.665663362E-1
2.523170111E0,-4.478405714E-1,-6.477462053E-1,3.783546686E-1
2.533170111E0,-8.870527148E-1,-5.909357667E-1,2.464077622E-1
2.543170111E0,-9.456957579E-1,-3.691916764E-1,6.337726954E-3
2.553170111E0,-5.413029790E-1,-2.955060638E-2,-1.964695305E-1
2.563169744E0,9.216429293E-2,3.459024429E-2,-2.850449979E-1
2.573169744E0,6.804275513E-1,-1.358411610E-1,-2.563343346E-1
2.583169744E0,1.024344683E0,-1.425606757E-1,-1.976912618E-1
2.593169744E0,1.174006701E0,9.873109311E-2,-2.306779921E-1
2.603169744E0,1.214323759E0,2.874884605E-1,-2.838232517E-1
2.613169744E0,1.115363598E0,3.815616965E-1,-2.606103718E-1
2.623169744E0,9.033933282E-1,4.224896729E-1,-1.506546438E-1
2.633169744E0,6.694319248E-1,3.992767930E-1,4.604396969E-2
2.643169744E0,4.641812146E-1,3.155882657E-1,3.081051707E-1
2.653169744E0,3.102431893E-1,2.080759704E-1,5.610033870E-1
2.663169744E0,2.222785950E-1,1.085049361E-1,7.894669771E-1
2.673169744E0,1.239292845E-1,1.054506153E-1,9.641744494E-1
2.683169744E0,3.779728711E-2,1.243874356E-1,1.007545829E0
2.693169744E0,-2.390010282E-2,1.671480089E-1,9.550114274E-1
2.703169744E0,-7.276932150E-2,2.716059685E-1,7.766388059E-1
2.713169744E0,-6.543894112E-2,3.687335253E-1,5.054146051E-1
2.723169744E0,-7.032585889E-2,3.943898678E-1,2.427425832E-1
2.733169744E0,-1.179733500E-1,3.742313087E-1,2.588541433E-2
2.743169744E0,-2.383138090E-1,3.736204505E-1,-1.225548387E-1
2.753169744E0,-4.234059751E-1,3.552944958E-1,-2.037999183E-1
2.763169744E0,-6.048329473E-1,2.526691258E-1,-2.667190433E-1
2.773169744E0,-7.325037718E-1,1.030071527E-1,-2.716059685E-1
2.783169744E0,-8.241335750E-1,-1.244637929E-2,-2.282345295E-1
2.793169444E0,-8.534551263E-1,-1.346194297E-1,-1.628719419E-1
2.803169444E0,-8.320748210E-1,-2.653445899E-1,-7.307475805E-2
2.813169444E0,-8.015315533E-1,-3.288745880E-1,1.061378326E-2
2.823169410E0,-7.825947404E-1,-3.026073575E-1,8.636107296E-2
2.833169410E0,-7.648796439E-1,-2.109775841E-1,1.395063549E-1
2.843169410E0,-7.416667938E-1,-1.144608781E-1,1.633300930E-1
2.853169410E0,-7.147886753E-1,-1.244637929E-2,1.608866304E-1
2.863169776E0,-6.530913115E-1,4.680754989E-2,1.046870351E-1
2.873169342E0,-5.077053905E-1,2.725986205E-2,4.787656292E-2
2.883169342E0,-3.348305225E-1,3.153591976E-2,3.504839167E-2
2.893169342E0,-1.906663179E-1,8.407033235E-2,5.032002553E-2
2.903169342E0,-9.048441797E-2,1.506546438E-1,4.848742858E-2
2.913169342E0,-1.962404512E-2,2.007455975E-1,4.665483162E-2
2.923169375E0,2.496911772E-2,1.921934783E-1,-4.558581859E-2
2.933169375E0,-5.574145354E-3,1.781435758E-1,-2.007455975E-1
2.943169375E0,-1.387427747E-1,3.155882657E-1,-5.745950937E-1
2.953169275E0,-1.613447815E-1,5.617669225E-1,-8.445975780E-1
2.963169275E0,-1.796707362E-1,5.739842653E-1,-8.971319795E-1
2.973169275E0,-5.089271069E-1,2.893210649E-1,-6.436228752E-1
2.983169275E0,-1.204702616E0,-7.780896127E-2,-1.366047412E-1
2.993169275E0,-2.026316404E0,-4.162282944E-1,3.172681332E-1
3.003169275E0,-2.409939766E0,-5.432882905E-1,4.938081801E-1
3.013169275E0,-2.186974049E0,-3.056617081E-1,4.486041665E-1
3.023169275E0,-1.306717157E0,7.368562371E-2,3.545309305E-1
3.033169275E0,6.406449527E-2,2.490039468E-1,1.706604809E-1
3.043169275E0,1.284573197E0,2.520582676E-1,-6.146831438E-2
3.053169275E0,1.861840963E0,2.716059685E-1,-2.575560510E-1
3.063169275E0,1.832519412E0,2.716059685E-1,-4.004985392E-1
3.073169275E0,1.395139813E0,3.638466001E-1,-4.316526651E-1
3.083169275E0,8.068766594E-1,5.153411627E-1,-3.204751909E-1
3.093169575E0,3.126866519E-1,5.428301096E-1,-1.048397496E-1
3.103169575E0,2.802344225E-2,4.548655450E-1,1.608866304E-1
3.113169575E0,-6.238461286E-2,4.053854346E-1,4.119522572E-1
3.123169575E0,-2.878702432E-2,4.560872614E-1,6.343072057E-1
3.133169575E0,1.294270754E-1,5.574908853E-1,7.778605223E-1
3.143169575E0,4.165337384E-1,5.862015486E-1,8.187885284E-1
3.153169575E0,7.066947222E-1,5.336671472E-1,8.022951484E-1
3.163169575E0,9.418778419E-1,3.461315334E-1,6.789003611E-1
3.173170008E0,9.803623557E-1,1.634828150E-1,4.962516427E-1
3.183170008E0,7.946593165E-1,9.750936180E-2,2.738966942E-1
3.193170008E0,4.672355652E-1,9.689849615E-2,2.222022414E-2
3.203170008E0,1.355357319E-1,9.078984708E-2,-2.129628956E-1
3.213170008E0,-1.662317067E-1,5.841398984E-2,-4.035528600E-1
3.223169974E0,-3.904192448E-1,-1.733330078E-2,-5.501605272E-1
3.233169974E0,-5.022075772E-1,-1.505019218E-1,-6.130796075E-1
3.243169974E0,-5.138140321E-1,-3.520874679E-1,-5.623778105E-1
3.253170074E0,-4.594470263E-1,-5.194645524E-1,-4.402047694E-1
3.263170074E0,-3.488804102E-1,-6.251442432E-1,-2.868776023E-1
3.273170074E0,-1.888337135E-1,-7.259370089E-1,-1.610393524E-1
3.283170074E0,-3.856086731E-2,-8.200102448E-1,-7.918340713E-2
3.293170074E0,4.940372705E-2,-8.591055870E-1,-2.420553565E-2
3.303170074E0,9.582948685E-2,-8.792641759E-1,-7.712173741E-3
3.313170107E0,9.338602424E-2,-8.658251166E-1,3.627012298E-2
3.323170140E0,9.086620063E-3,-7.815257311E-1,7.292203605E-2
3.333170140E0,-7.765624672E-2,-7.198283076E-1,6.559165567E-2
3.343170140E0,-1.558469981E-1,-6.379724145E-1,1.065196246E-1
3.353170140E0,-2.474767864E-1,-4.095087945E-1,1.804343164E-1
3.363170140E0,-2.932916880E-1,-1.065196246E-1,2.714532316E-1
3.373170140E0,-2.315942794E-1,6.879869848E-2,3.050508201E-1
3.383170140E0,-8.193229884E-2,4.680754989E-2,2.427425832E-1
3.393170140E0,1.824959926E-2,7.307475805E-2,1.291216463E-1
3.403170140E0,5.001459271E-2,2.276236564E-1,-7.368562371E-2
3.413170140E0,1.141554415E-1,3.333033621E-1,-3.198643029E-1
3.423170140E0,1.013272703E-1,3.161991239E-1,-3.540727794E-1
3.433170140E0,-1.821141988E-1,1.610393524E-1,-1.274417639E-1
3.443170140E0,-6.744716167E-1,-2.099849284E-2,2.054798007E-1
3.453170140E0,-1.041601658E0,-3.032182455E-1,4.205043614E-1
3.463170140E0,-1.070312262E0,-5.451208949E-1,3.368158340E-1
3.473170140E0,-8.149706125E-1,-4.492150247E-1,1.352302879E-1
3.483170140E0,-2.645809948E-1,-2.146427780E-1,-5.474879593E-2
3.493170140E0,6.981425881E-1,-8.147415519E-2,-1.848630905E-1
3.503170140E0,1.107422352E0,-8.781188168E-3,-2.080759704E-1
3.513170140E0,1.282740712E0,1.640936732E-1,-2.123520374E-1
3.523170173E0,1.195997834E0,3.290272951E-1,-1.763109863E-1
3.533170173E0,9.644798636E-1,3.858377635E-1,-9.445504099E-2
3.543170173E0,6.938665509E-1,3.601814210E-1,4.543310404E-2
3.553170173E0,4.806745946E-1,3.430771828E-1,2.109775841E-1
3.563170206E0,3.652210534E-1,3.876703680E-1,3.869067729E-1
3.573170206E0,3.395647109E-1,4.560872614E-1,5.274057984E-1
3.583170206E0,3.737731576E-1,5.177846551E-1,6.049856544E-1
3.593170206E0,4.464661479E-1,5.409975052E-1,6.098725796E-1
3.603170206E0,4.843397737E-1,5.147303343E-1,5.542838573E-1
3.613170172E0,4.837289155E-1,4.628067911E-1,4.553236961E-1
3.623170138E0,4.018729627E-1,4.188244939E-1,3.142138124E-1
3.633170138E0,2.723695338E-1,3.864486217E-1,1.065196246E-1
3.643170138E0,1.471421719E-1,3.742313087E-1,-1.158353239E-1
